Season,Age,Tm,Lg,Pos,G,TRB,AST,PTS,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,22,MIL,NBA,SF,80,6.4,2.5,21.9,17.6,0.451,1.1,3.4,0.321,6.9,14.3,0.482,0.482,5,6.2,0.796,2.1,4.3,6.4,2.5,1.4,0.3,3.9,2.9,21.9
1995-96,23,MIL,NBA,SF,82,6.1,3.6,20.2,16.9,0.454,1.1,3.2,0.342,6.5,13.6,0.48,0.486,3.9,4.7,0.812,1.7,4.5,6.1,3.6,1.2,0.5,3.4,2.9,20.2
1996-97,24,MIL,NBA,SF,80,6.3,3.1,21.1,18,0.465,0.8,2.3,0.35,7.6,15.7,0.482,0.487,3.6,4.6,0.791,1.6,4.7,6.3,3.1,1.3,0.9,3.4,2.8,21.1
1997-98,25,MIL,NBA,SF,56,5.5,2.8,23.4,20.3,0.47,0.4,1.2,0.385,9.1,19.1,0.475,0.481,3.8,4.8,0.808,1.5,4,5.5,2.8,1.2,0.6,3.6,2.9,23.4
1998-99,26,MIL,NBA,SF,47,5.9,2.1,18.4,16.1,0.459,0.7,1.7,0.392,6.7,14.4,0.467,0.479,3,3.4,0.87,1.6,4.3,5.9,2.1,1,0.9,2.3,2.4,18.4
1999-00 ★,27,MIL,NBA,SF,81,6,2.4,20.9,18,0.472,1.1,2.9,0.363,7.5,15.1,0.493,0.502,2.8,3.5,0.802,1.3,4.7,6,2.4,1,0.5,2.8,2.6,20.9
2000-01 ★,28,MIL,NBA,SF,76,6.9,3.3,22,19.2,0.468,0.7,2.4,0.299,8.3,16.8,0.493,0.487,3.3,4,0.82,1.6,5.3,6.9,3.3,1.1,0.8,2.9,2.5,22
2001-02,29,MIL,NBA,SF,66,6.2,2.5,20.7,17.4,0.467,0.9,2.7,0.326,7.2,14.7,0.493,0.493,3.6,4.3,0.837,1.1,5.1,6.2,2.5,1.5,0.6,2.6,2.6,20.7
2002-03,30,ATL,NBA,SF,69,6.6,3,20.8,18.1,0.432,1.3,3.8,0.342,6.5,14.3,0.456,0.468,3.9,4.4,0.876,1.2,5.4,6.6,3,1.3,0.4,3.6,2.7,20.8
2003-04,31,PHI,NBA,SF,42,4.5,1.4,16.6,14.6,0.448,0.8,2.4,0.34,5.7,12.2,0.469,0.476,2.7,3.3,0.832,1.1,3.4,4.5,1.4,1,0.2,2.5,2.3,16.6
2004-05,32,SAS,NBA,SF,9,2.7,0.9,10,8.6,0.442,0.2,0.7,0.333,3.6,7.9,0.451,0.455,2.2,2.6,0.87,0.4,2.2,2.7,0.9,0.4,0.3,0.8,2.1,10
